ticker,full_name,rule1_score,management_score,moat_score,buy_price,last_price,last_gr,long_gr,guru
ESLT,Elbit Systems Ltd,57,55,58,$520,N/A,28,8,14 years
ESLT,Elbit Systems Ltd,57,55,58,$520,N/A,28,8,14 years
CASY,Casey's General Stores Inc,72,60,83,$231,N/A,14,10,16 years
CASY,Casey's General Stores Inc,72,60,83,$231,N/A,14,10,16 years
MSFT,Microsoft Corp,99,100,98,$282,N/A,17,14,11 years
MSFT,Microsoft Corp,99,100,98,$282,N/A,17,14,11 years
META,Meta Platforms Inc,100,100,100,$2889,N/A,30,20,7 years
META,Meta Platforms Inc,100,100,100,$2889,N/A,30,20,7 years
DECK,Deckers Outdoor Corp,100,100,100,$14521,N/A,64,20,2 years
DECK,Deckers Outdoor Corp,100,100,100,$14521,N/A,64,20,2 years
NYT,New York Times Co,87,85,88,$11211,N/A,77,7,4 years
NYT,New York Times Co,87,85,88,$11211,N/A,77,7,4 years
XPEL,XPEL Inc,98,100,95,$2414,N/A,58,29,5 years
XPEL,XPEL Inc,98,100,95,$2414,N/A,58,29,5 years
FND,Floor & Decor Holdings Inc,88,90,85,$604,N/A,44,16,12 years
FND,Floor & Decor Holdings Inc,88,90,85,$604,N/A,44,16,12 years
RLI,RLI Corp,92,90,93,$90,N/A,19,13,6 years
RLI,RLI Corp,92,90,93,$90,N/A,19,13,6 years
TGS,Transportadora de Gas del Sur SA,90,85,95,$6128490134,N/A,194,0,N/A
TGS,Transportadora de Gas del Sur SA,90,85,95,$6128490134,N/A,194,0,N/A
COST,Costco Wholesale Corp,88,90,85,$257,N/A,12,11,16 years
COST,Costco Wholesale Corp,88,90,85,$257,N/A,12,11,16 years
SNPS,Synopsys Inc,93,98,88,$438,N/A,20,14,9 years
SNPS,Synopsys Inc,93,98,88,$438,N/A,20,14,9 years
BLD,TopBuild Corp,93,85,100,$1877,N/A,32,17,6 years
BLD,TopBuild Corp,93,85,100,$1877,N/A,32,17,6 years
STRL,Sterling Infrastructure Inc,85,85,85,$188,N/A,6,11,17 years
STRL,Sterling Infrastructure Inc,85,85,85,$188,N/A,6,11,17 years
MPWR,Monolithic Power Systems Inc,100,100,100,$7221,N/A,36,25,6 years
MPWR,Monolithic Power Systems Inc,100,100,100,$7221,N/A,36,25,6 years
BMI,Badger Meter Inc,99,100,98,$86,N/A,13,13,12 years
BMI,Badger Meter Inc,99,100,98,$86,N/A,13,13,12 years
IPAR,Interparfums Inc,94,93,95,N/A,N/A,N/A,N/A,N/A
